"YEAR","COUNTY","PLACE","CFIPS","PFIPS","Total Population",
"2008","Lincoln County","Limon","73","44980","2,009",
"2007","Lincoln County","Limon","73","44980","2,001",
"1996","Lincoln County","Lincoln Unincorp. Area","73","99990","2,717",
"1999","Lincoln County","Lincoln Unincorp. Area","73","99990","2,685",
"1988","Lincoln County","Lincoln Unincorp. Area","73","99990","1,676",
"2004","Lincoln County","Lincoln Unincorp. Area","73","99990","2,627",
"1994","Lincoln County","Lincoln Unincorp. Area","73","99990","2,649",
"1984","Lincoln County","Lincoln Unincorp. Area","73","99990","1,618",
"1980","Lincoln County","Lincoln Unincorp. Area","73","99990","1,681",
"2003","Lincoln County","Lincoln Unincorp. Area","73","99990","2,674",
"1986","Lincoln County","Lincoln Unincorp. Area","73","99990","1,613",
"1997","Lincoln County","Lincoln Unincorp. Area","73","99990","2,699",
"2005","Lincoln County","Lincoln Unincorp. Area","73","99990","2,574",
"1981","Lincoln County","Lincoln Unincorp. Area","73","99990","1,636",
"1989","Lincoln County","Lincoln Unincorp. Area","73","99990","1,657",
"1991","Lincoln County","Lincoln Unincorp. Area","73","99990","2,229",
"1993","Lincoln County","Lincoln Unincorp. Area","73","99990","2,639",
"2002","Lincoln County","Lincoln Unincorp. Area","73","99990","2,679",
"1982","Lincoln County","Lincoln Unincorp. Area","73","99990","1,643",
"2001","Lincoln County","Lincoln Unincorp. Area","73","99990","2,682",
"1985","Lincoln County","Lincoln Unincorp. Area","73","99990","1,668",
"1990","Lincoln County","Lincoln Unincorp. Area","73","99990","1,651",
"1987","Lincoln County","Lincoln Unincorp. Area","73","99990","1,623",
"1992","Lincoln County","Lincoln Unincorp. Area","73","99990","2,444",
"1998","Lincoln County","Lincoln Unincorp. Area","73","99990","2,695",
"1983","Lincoln County","Lincoln Unincorp. Area","73","99990","1,669",
"2000","Lincoln County","Lincoln Unincorp. Area","73","99990","2,716",
"1995","Lincoln County","Lincoln Unincorp. Area","73","99990","2,659",
"2006","Lincoln County","Lincoln Unincorp. Area","73","99990","2,530",
"2007","Lincoln County","Lincoln Unincorp. Area","73","99990","2,505",
"2008","Lincoln County","Lincoln Unincorp. Area","73","99990","2,475",
"2009","Lincoln County","Lincoln Unincorp. Area","73","99990","2,458",
"1989","Douglas County","Littleton (part)","35","45255","114",
"1994","Douglas County","Littleton (part)","35","45255","157",
"1980","Jefferson County","Littleton (part)","59","45255","0",
"2001","Arapahoe County","Littleton (part)","5","45255","40,440",
"1984","Jefferson County","Littleton (part)","59","45255","0",
"1990","Jefferson County","Littleton (part)","59","45255","0",
"1994","Arapahoe County","Littleton (part)","5","45255","36,282",
"2002","Jefferson County","Littleton (part)","59","45255","1,031",
"2006","Douglas County","Littleton (part)","35","45255","45",
"1987","Arapahoe County","Littleton (part)","5","45255","33,328",
"1981","Arapahoe County","Littleton (part)","5","45255","30,686",
"2000","Douglas County","Littleton (part)","35","45255","106",
"1999","Jefferson County","Littleton (part)","59","45255","65",
"1982","Jefferson County","Littleton (part)","59","45255","0",
"1993","Arapahoe County","Littleton (part)","5","45255","35,823",
"2006","Arapahoe County","Littleton (part)","5","45255","38,735",
"1990","Arapahoe County","Littleton (part)","5","45255","33,603",
"1993","Douglas County","Littleton (part)","35","45255","148",
"1996","Arapahoe County","Littleton (part)","5","45255","38,008",
"2006","Jefferson County","Littleton (part)","59","45255","1,695",
"1980","Arapahoe County","Littleton (part)","5","45255","28,503",
"1991","Arapahoe County","Littleton (part)","5","45255","34,388",
"2005","Jefferson County","Littleton (part)","59","45255","1,685",
"1996","Douglas County","Littleton (part)","35","45255","184",
"1984","Arapahoe County","Littleton (part)","5","45255","31,505",
"1984","Douglas County","Littleton (part)","35","45255","134",
"1997","Jefferson County","Littleton (part)","59","45255","0",
"1983","Arapahoe County","Littleton (part)","5","45255","32,562",
"1986","Jefferson County","Littleton (part)","59","45255","0",
"1987","Jefferson County","Littleton (part)","59","45255","0",
"1981","Jefferson County","Littleton (part)","59","45255","0",
"1998","Jefferson County","Littleton (part)","59","45255","0",
"1997","Arapahoe County","Littleton (part)","5","45255","38,669",
"1983","Douglas County","Littleton (part)","35","45255","131",
"2003","Douglas County","Littleton (part)","35","45255","67",
"2005","Arapahoe County","Littleton (part)","5","45255","39,120",
"1989","Arapahoe County","Littleton (part)","5","45255","33,224",
"1989","Jefferson County","Littleton (part)","59","45255","0",
"1988","Jefferson County","Littleton (part)","59","45255","0",
"2004","Jefferson County","Littleton (part)","59","45255","1,663",
"1998","Arapahoe County","Littleton (part)","5","45255","39,263",
"1988","Douglas County","Littleton (part)","35","45255","120",
"1998","Douglas County","Littleton (part)","35","45255","87",
"1985","Arapahoe County","Littleton (part)","5","45255","32,021",
"2002","Douglas County","Littleton (part)","35","45255","77",
"1991","Douglas County","Littleton (part)","35","45255","123",
"1986","Arapahoe County","Littleton (part)","5","45255","32,491",
"1983","Jefferson County","Littleton (part)","59","45255","0",
"2004","Douglas County","Littleton (part)","35","45255","58",
"1981","Douglas County","Littleton (part)","35","45255","127",
"1980","Douglas County","Littleton (part)","35","45255","128",
"1993","Jefferson County","Littleton (part)","59","45255","0",
"2000","Arapahoe County","Littleton (part)","5","45255","40,170",
"1987","Douglas County","Littleton (part)","35","45255","126",
"1999","Arapahoe County","Littleton (part)","5","45255","39,781",
"1995","Arapahoe County","Littleton (part)","5","45255","37,225",
"1985","Jefferson County","Littleton (part)","59","45255","0",
"1996","Jefferson County","Littleton (part)","59","45255","0",
"1982","Douglas County","Littleton (part)","35","45255","125",
"2001","Jefferson County","Littleton (part)","59","45255","487",
"1992","Arapahoe County","Littleton (part)","5","45255","35,496",
"2005","Douglas County","Littleton (part)","35","45255","51",
"1992","Jefferson County","Littleton (part)","59","45255","0",
"1994","Jefferson County","Littleton (part)","59","45255","0",
"1982","Arapahoe County","Littleton (part)","5","45255","32,259",
"1985","Douglas County","Littleton (part)","35","45255","138",
"1990","Douglas County","Littleton (part)","35","45255","108",
"1997","Douglas County","Littleton (part)","35","45255","197",
"1995","Jefferson County","Littleton (part)","59","45255","0",
"2003","Jefferson County","Littleton (part)","59","45255","1,469",
"1988","Arapahoe County","Littleton (part)","5","45255","33,163",
"1991","Jefferson County","Littleton (part)","59","45255","0",
"1986","Douglas County","Littleton (part)","35","45255","129",
"2003","Arapahoe County","Littleton (part)","5","45255","40,023",
"1995","Douglas County","Littleton (part)","35","45255","174",
"2000","Jefferson County","Littleton (part)","59","45255","113",
"2002","Arapahoe County","Littleton (part)","5","45255","40,401",
"2004","Arapahoe County","Littleton (part)","5","45255","39,871",
"1992","Douglas County","Littleton (part)","35","45255","150",
"1999","Douglas County","Littleton (part)","35","45255","73",
"2001","Douglas County","Littleton (part)","35","45255","90",
"2007","Arapahoe County","Littleton (part)","5","45255","38,506",
"2008","Douglas County","Littleton (part)","35","45255","36",
"2008","Arapahoe County","Littleton (part)","5","45255","38,516",
"2009","Arapahoe County","Littleton (part)","5","45255","38,885",
"2009","Douglas County","Littleton (part)","35","45255","30",
"2008","Jefferson County","Littleton (part)","59","45255","1,744",
"2007","Jefferson County","Littleton (part)","59","45255","1,733",
"2007","Douglas County","Littleton (part)","35","45255","40",
"2009","Jefferson County","Littleton (part)","59","45255","1,765",
"1987","Adams County","Lochbuie (part)","1","45530","0",
"2006","Weld County","Lochbuie (part)","123","45530","3,794",
"1986","Adams County","Lochbuie (part)","1","45530","0",
"1988","Weld County","Lochbuie (part)","123","45530","1,130",
"1988","Adams County","Lochbuie (part)","1","45530","0",
"1983","Adams County","Lochbuie (part)","1","45530","0",
"1990","Adams County","Lochbuie (part)","1","45530","0",
"1986","Weld County","Lochbuie (part)","123","45530","1,066",
"1984","Weld County","Lochbuie (part)","123","45530","955",
"1985","Weld County","Lochbuie (part)","123","45530","1,063",
"1981","Adams County","Lochbuie (part)","1","45530","0",
"1991","Adams County","Lochbuie (part)","1","45530","0",
"1982","Adams County","Lochbuie (part)","1","45530","0",
"1985","Adams County","Lochbuie (part)","1","45530","0",
"1987","Weld County","Lochbuie (part)","123","45530","1,094",
"1984","Adams County","Lochbuie (part)","1","45530","0",
"1981","Weld County","Lochbuie (part)","123","45530","902",
"1982","Weld County","Lochbuie (part)","123","45530","895",
"2005","Weld County","Lochbuie (part)","123","45530","3,404",
"1990","Weld County","Lochbuie (part)","123","45530","1,168",
"1989","Adams County","Lochbuie (part)","1","45530","0",
"1980","Weld County","Lochbuie (part)","123","45530","895",
"1983","Weld County","Lochbuie (part)","123","45530","935",
"2006","Adams County","Lochbuie (part)","1","45530","0",
"1989","Weld County","Lochbuie (part)","123","45530","1,152",
"1980","Adams County","Lochbuie (part)","1","45530","0",
"1997","Weld County","Lochbuie (part)","123","45530","1,696",
"1994","Weld County","Lochbuie (part)","123","45530","1,503",
"2001","Adams County","Lochbuie (part)","1","45530","4",
"2001","Weld County","Lochbuie (part)","123","45530","2,528",
"1995","Adams County","Lochbuie (part)","1","45530","0",
"1998","Weld County","Lochbuie (part)","123","45530","1,776",
"2004","Adams County","Lochbuie (part)","1","45530","0",
"1991","Weld County","Lochbuie (part)","123","45530","1,255",
"1992","Adams County","Lochbuie (part)","1","45530","0",
"1999","Adams County","Lochbuie (part)","1","45530","0",
"1995","Weld County","Lochbuie (part)","123","45530","1,575",
"1996","Adams County","Lochbuie (part)","1","45530","0",
"1997","Adams County","Lochbuie (part)","1","45530","0",
"2002","Adams County","Lochbuie (part)","1","45530","4",
"2005","Adams County","Lochbuie (part)","1","45530","0",
"1996","Weld County","Lochbuie (part)","123","45530","1,645",
"1998","Adams County","Lochbuie (part)","1","45530","0",
"2000","Adams County","Lochbuie (part)","1","45530","4",
"2002","Weld County","Lochbuie (part)","123","45530","2,794",
"1992","Weld County","Lochbuie (part)","123","45530","1,355",
"2000","Weld County","Lochbuie (part)","123","45530","2,159",
"1994","Adams County","Lochbuie (part)","1","45530","0",
"2004","Weld County","Lochbuie (part)","123","45530","3,178",
"1999","Weld County","Lochbuie (part)","123","45530","1,928",
"1993","Adams County","Lochbuie (part)","1","45530","0",
"1993","Weld County","Lochbuie (part)","123","45530","1,426",
"2003","Weld County","Lochbuie (part)","123","45530","3,016",
"2003","Adams County","Lochbuie (part)","1","45530","0",
"2007","Adams County","Lochbuie (part)","1","45530","2",
"2008","Adams County","Lochbuie (part)","1","45530","2",
"2009","Weld County","Lochbuie (part)","123","45530","4,675",
"2009","Adams County","Lochbuie (part)","1","45530","2",
"2008","Weld County","Lochbuie (part)","123","45530","4,472",
"2007","Weld County","Lochbuie (part)","123","45530","4,216",
"2000","Morgan County","Log Lane Village","87","45695","1,012",
"1997","Morgan County","Log Lane Village","87","45695","929",
"2006","Morgan County","Log Lane Village","87","45695","913",
"1983","Morgan County","Log Lane Village","87","45695","729",
"1980","Morgan County","Log Lane Village","87","45695","709",
"1982","Morgan County","Log Lane Village","87","45695","714",
"2001","Morgan County","Log Lane Village","87","45695","1,002",
"1991","Morgan County","Log Lane Village","87","45695","700",
"1984","Morgan County","Log Lane Village","87","45695","710",
"1999","Morgan County","Log Lane Village","87","45695","1,002",
"1996","Morgan County","Log Lane Village","87","45695","907",
"1998","Morgan County","Log Lane Village","87","45695","999",
"1995","Morgan County","Log Lane Village","87","45695","881",
"1988","Morgan County","Log Lane Village","87","45695","637",
"2005","Morgan County","Log Lane Village","87","45695","937",
"1993","Morgan County","Log Lane Village","87","45695","759",
"1986","Morgan County","Log Lane Village","87","45695","654",
"2003","Morgan County","Log Lane Village","87","45695","977",
"2002","Morgan County","Log Lane Village","87","45695","989",
"1990","Morgan County","Log Lane Village","87","45695","667",
"1994","Morgan County","Log Lane Village","87","45695","748",
"1987","Morgan County","Log Lane Village","87","45695","644",
"1989","Morgan County","Log Lane Village","87","45695","675",
"2004","Morgan County","Log Lane Village","87","45695","957",
"1992","Morgan County","Log Lane Village","87","45695","733",
"1985","Morgan County","Log Lane Village","87","45695","694",
"1981","Morgan County","Log Lane Village","87","45695","704",
"2008","Morgan County","Log Lane Village","87","45695","874",
"2009","Morgan County","Log Lane Village","87","45695","871",
"2007","Morgan County","Log Lane Village","87","45695","895",
"1993","Logan County","Logan Unincorp. Area","75","99990","6,486",
"2000","Logan County","Logan Unincorp. Area","75","99990","6,594",
"1992","Logan County","Logan Unincorp. Area","75","99990","6,413",
"1983","Logan County","Logan Unincorp. Area","75","99990","6,973",
"1989","Logan County","Logan Unincorp. Area","75","99990","6,170",
"2006","Logan County","Logan Unincorp. Area","75","99990","7,139",
"1980","Logan County","Logan Unincorp. Area","75","99990","7,157",
"2005","Logan County","Logan Unincorp. Area","75","99990","7,122",
"1994","Logan County","Logan Unincorp. Area","75","99990","6,617",
"1999","Logan County","Logan Unincorp. Area","75","99990","7,771",
"1986","Logan County","Logan Unincorp. Area","75","99990","6,283",
"1988","Logan County","Logan Unincorp. Area","75","99990","6,226",
"1990","Logan County","Logan Unincorp. Area","75","99990","6,122",
"1995","Logan County","Logan Unincorp. Area","75","99990","6,951",
"1998","Logan County","Logan Unincorp. Area","75","99990","7,592",
"1985","Logan County","Logan Unincorp. Area","75","99990","6,591",
"1987","Logan County","Logan Unincorp. Area","75","99990","6,140",
"1997","Logan County","Logan Unincorp. Area","75","99990","7,443",
"2004","Logan County","Logan Unincorp. Area","75","99990","7,168",
"1996","Logan County","Logan Unincorp. Area","75","99990","7,186",
"1984","Logan County","Logan Unincorp. Area","75","99990","6,757",
"1981","Logan County","Logan Unincorp. Area","75","99990","7,103",
"1982","Logan County","Logan Unincorp. Area","75","99990","7,003",
"2001","Logan County","Logan Unincorp. Area","75","99990","7,074",
"2009","Pueblo County","Rye","101","66895","155",
"1991","Logan County","Logan Unincorp. Area","75","99990","6,270",
"2003","Logan County","Logan Unincorp. Area","75","99990","7,200",
"2002","Logan County","Logan Unincorp. Area","75","99990","7,038",
"2008","Logan County","Logan Unincorp. Area","75","99990","7,044",
"2007","Logan County","Logan Unincorp. Area","75","99990","7,110",
"2009","Logan County","Logan Unincorp. Area","75","99990","7,063",
"1985","Douglas County","Lone Tree","35","45955","0",
"1995","Douglas County","Lone Tree","35","45955","0",
"1988","Douglas County","Lone Tree","35","45955","0",
"1993","Douglas County","Lone Tree","35","45955","0",
"1980","Douglas County","Lone Tree","35","45955","0",
"1987","Douglas County","Lone Tree","35","45955","0",
"1981","Douglas County","Lone Tree","35","45955","0",
"2000","Douglas County","Lone Tree","35","45955","6,967",
"2003","Douglas County","Lone Tree","35","45955","8,374",
"1984","Douglas County","Lone Tree","35","45955","0",
"2004","Douglas County","Lone Tree","35","45955","8,570",
"2005","Douglas County","Lone Tree","35","45955","8,844",
"1998","Douglas County","Lone Tree","35","45955","4,929",
"1999","Douglas County","Lone Tree","35","45955","4,897",
"2002","Douglas County","Lone Tree","35","45955","7,841",
"1997","Douglas County","Lone Tree","35","45955","4,954",
"1990","Douglas County","Lone Tree","35","45955","0",
"1996","Douglas County","Lone Tree","35","45955","4,025",
"1991","Douglas County","Lone Tree","35","45955","0",
"1986","Douglas County","Lone Tree","35","45955","0",
"1982","Douglas County","Lone Tree","35","45955","0",
"1994","Douglas County","Lone Tree","35","45955","0",
"2001","Douglas County","Lone Tree","35","45955","7,333",
"1983","Douglas County","Lone Tree","35","45955","0",
"1989","Douglas County","Lone Tree","35","45955","0",
"2006","Douglas County","Lone Tree","35","45955","9,414",
"1992","Douglas County","Lone Tree","35","45955","0",
"2008","Douglas County","Lone Tree","35","45955","10,058",
"2009","Douglas County","Lone Tree","35","45955","10,138",
"2007","Douglas County","Lone Tree","35","45955","9,877",
"1980","Boulder County","Longmont (part)","13","45970","42,942",
"1986","Weld County","Longmont (part)","123","45970","0",
"1991","Weld County","Longmont (part)","123","45970","0",
"2002","Weld County","Longmont (part)","123","45970","38",
"1997","Weld County","Longmont (part)","123","45970","14",
"1996","Boulder County","Longmont (part)","13","45970","60,152",
"2006","Weld County","Longmont (part)","123","45970","22",
"1985","Weld County","Longmont (part)","123","45970","0",
"1998","Boulder County","Longmont (part)","13","45970","65,171",
"1981","Weld County","Longmont (part)","123","45970","0",
"1987","Weld County","Longmont (part)","123","45970","0",
"1990","Weld County","Longmont (part)","123","45970","0",
"2002","Boulder County","Longmont (part)","13","45970","78,184",
"1993","Weld County","Longmont (part)","123","45970","0",
"1994","Boulder County","Longmont (part)","13","45970","56,846",
"1982","Boulder County","Longmont (part)","13","45970","45,723",
"2006","Boulder County","Longmont (part)","13","45970","82,524",
"1986","Boulder County","Longmont (part)","13","45970","48,297",
"1999","Boulder County","Longmont (part)","13","45970","68,509",
"1992","Boulder County","Longmont (part)","13","45970","54,224",
"1985","Boulder County","Longmont (part)","13","45970","47,855",
"1987","Boulder County","Longmont (part)","13","45970","49,346",
"1984","Weld County","Longmont (part)","123","45970","0",
"2001","Weld County","Longmont (part)","123","45970","44",
"1998","Weld County","Longmont (part)","123","45970","14",
"2005","Boulder County","Longmont (part)","13","45970","81,415",
"1980","Weld County","Longmont (part)","123","45970","0",
"2001","Boulder County","Longmont (part)","13","45970","76,039",
"1993","Boulder County","Longmont (part)","13","45970","55,359",
"2000","Weld County","Longmont (part)","123","45970","52",
"1983","Weld County","Longmont (part)","123","45970","0",
"1996","Weld County","Longmont (part)","123","45970","0",
"2004","Boulder County","Longmont (part)","13","45970","80,595",
"2005","Weld County","Longmont (part)","123","45970","26",
"1990","Boulder County","Longmont (part)","13","45970","51,976",
"2000","Boulder County","Longmont (part)","13","45970","72,372",
"2003","Weld County","Longmont (part)","123","45970","34",
"1989","Boulder County","Longmont (part)","13","45970","51,066",
"1997","Boulder County","Longmont (part)","13","45970","61,557",
"1982","Weld County","Longmont (part)","123","45970","0",
"1988","Weld County","Longmont (part)","123","45970","0",
"1983","Boulder County","Longmont (part)","13","45970","47,234",
"1992","Weld County","Longmont (part)","123","45970","0",
"1991","Boulder County","Longmont (part)","13","45970","52,422",
"1981","Boulder County","Longmont (part)","13","45970","44,317",
"1995","Weld County","Longmont (part)","123","45970","0",
"1994","Weld County","Longmont (part)","123","45970","0",
"1989","Weld County","Longmont (part)","123","45970","0",
"1999","Weld County","Longmont (part)","123","45970","20",
"1984","Boulder County","Longmont (part)","13","45970","47,984",
"1988","Boulder County","Longmont (part)","13","45970","50,445",
"1995","Boulder County","Longmont (part)","13","45970","58,142",
"2004","Weld County","Longmont (part)","123","45970","30",
"2003","Boulder County","Longmont (part)","13","45970","79,101",
"2009","Boulder County","Longmont (part)","13","45970","85,157",
"2009","Weld County","Longmont (part)","123","45970","16",
"2008","Boulder County","Longmont (part)","13","45970","84,662",
"2007","Weld County","Longmont (part)","123","45970","20",
"2008","Weld County","Longmont (part)","123","45970","16",
"2007","Boulder County","Longmont (part)","13","45970","83,650",
"1992","Boulder County","Louisville","13","46355","14,109",
"1998","Boulder County","Louisville","13","46355","19,121",
"1981","Boulder County","Louisville","13","46355","5,934",
"2006","Boulder County","Louisville","13","46355","18,070",
"1988","Boulder County","Louisville","13","46355","11,153",
"2001","Boulder County","Louisville","13","46355","19,083",
"1982","Boulder County","Louisville","13","46355","6,282",
"1983","Boulder County","Louisville","13","46355","6,621",
"1994","Boulder County","Louisville","13","46355","16,934",
"1987","Boulder County","Louisville","13","46355","10,566",
"1995","Boulder County","Louisville","13","46355","17,731",
"2005","Boulder County","Louisville","13","46355","18,045",
"1989","Boulder County","Louisville","13","46355","11,773",
"1991","Boulder County","Louisville","13","46355","13,654",
"1996","Boulder County","Louisville","13","46355","18,120",
"1984","Boulder County","Louisville","13","46355","8,260",
"1999","Boulder County","Louisville","13","46355","19,013",
"2000","Boulder County","Louisville","13","46355","19,053",
"1993","Boulder County","Louisville","13","46355","16,209",
"2004","Boulder County","Louisville","13","46355","18,313",
"1985","Boulder County","Louisville","13","46355","9,631",
"1980","Boulder County","Louisville","13","46355","5,593",
"1990","Boulder County","Louisville","13","46355","12,363",
"1997","Boulder County","Louisville","13","46355","18,280",
"2002","Boulder County","Louisville","13","46355","18,753",
"1986","Boulder County","Louisville","13","46355","10,093",
"2003","Boulder County","Louisville","13","46355","18,311",
"2007","Boulder County","Louisville","13","46355","18,055",
"2009","Boulder County","Louisville","13","46355","18,248",
"2008","Boulder County","Louisville","13","46355","18,271",
"1990","Larimer County","Loveland","69","46465","37,357",
"1994","Larimer County","Loveland","69","46465","42,501",
"2004","Larimer County","Loveland","69","46465","59,181",
"1997","Larimer County","Loveland","69","46465","46,510",
"1992","Larimer County","Loveland","69","46465","39,665",
"1996","Larimer County","Loveland","69","46465","45,462",
"1991","Larimer County","Loveland","69","46465","38,510",
"1995","Larimer County","Loveland","69","46465","44,092",
"2003","Larimer County","Loveland","69","46465","57,425",
"1983","Larimer County","Loveland","69","46465","33,509",
"2000","Larimer County","Loveland","69","46465","51,893",
"1980","Larimer County","Loveland","69","46465","30,215",
"2001","Larimer County","Loveland","69","46465","54,465",
"2006","Larimer County","Loveland","69","46465","61,286",
"1987","Larimer County","Loveland","69","46465","36,259",
"1993","Larimer County","Loveland","69","46465","41,082",
"1999","Larimer County","Loveland","69","46465","49,515",
"1986","Larimer County","Loveland","69","46465","35,871",
"2005","Larimer County","Loveland","69","46465","60,346",
"1985","Larimer County","Loveland","69","46465","35,094",
"1998","Larimer County","Loveland","69","46465","48,065",
"2002","Larimer County","Loveland","69","46465","56,301",
"1981","Larimer County","Loveland","69","46465","31,372",
"1988","Larimer County","Loveland","69","46465","36,484",
"1989","Larimer County","Loveland","69","46465","36,952",
"1982","Larimer County","Loveland","69","46465","32,616",
"1984","Larimer County","Loveland","69","46465","33,873",
"2008","Larimer County","Loveland","69","46465","64,898",
"2009","Larimer County","Loveland","69","46465","66,362",
"2007","Larimer County","Loveland","69","46465","63,222",
"1995","Boulder County","Lyons","13","47070","1,414",
"1996","Boulder County","Lyons","13","47070","1,423",
"1987","Boulder County","Lyons","13","47070","1,216",
"1981","Boulder County","Lyons","13","47070","1,181",
"1988","Boulder County","Lyons","13","47070","1,219",
"2006","Boulder County","Lyons","13","47070","1,774",
"1980","Boulder County","Lyons","13","47070","1,137",
"1992","Boulder County","Lyons","13","47070","1,272",
"1991","Boulder County","Lyons","13","47070","1,236",
"2002","Boulder County","Lyons","13","47070","1,635",
"1984","Boulder County","Lyons","13","47070","1,266",
"2000","Boulder County","Lyons","13","47070","1,601",
"1985","Boulder County","Lyons","13","47070","1,261",
"2004","Boulder County","Lyons","13","47070","1,621",
"1990","Boulder County","Lyons","13","47070","1,227",
"2003","Boulder County","Lyons","13","47070","1,618",
"2005","Boulder County","Lyons","13","47070","1,642",
"1994","Boulder County","Lyons","13","47070","1,358",
"1999","Boulder County","Lyons","13","47070","1,543",
"1998","Boulder County","Lyons","13","47070","1,489",
"1986","Boulder County","Lyons","13","47070","1,237",
"1993","Boulder County","Lyons","13","47070","1,276",
"1982","Boulder County","Lyons","13","47070","1,232",
"2001","Boulder County","Lyons","13","47070","1,642",
"1997","Boulder County","Lyons","13","47070","1,442",
"1983","Boulder County","Lyons","13","47070","1,260",
"1989","Boulder County","Lyons","13","47070","1,225",
"2007","Boulder County","Lyons","13","47070","1,821",
"2008","Boulder County","Lyons","13","47070","1,972",
"2009","Boulder County","Lyons","13","47070","2,005",
"2004","Conejos County","Massa","21","48060","1,022",
"1984","Conejos County","Massa","21","48060","1,058",
"1983","Conejos County","Massa","21","48060","1,032",
"1988","Conejos County","Massa","21","48060","1,007",
"1993","Conejos County","Massa","21","48060","992",
"2005","Conejos County","Massa","21","48060","1,017",
"1980","Conejos County","Massa","21","48060","945",
"1995","Conejos County","Massa","21","48060","1,010",
"2001","Conejos County","Massa","21","48060","1,044",
"1990","Conejos County","Massa","21","48060","988",
"1991","Conejos County","Massa","21","48060","993",
"2000","Conejos County","Massa","21","48060","1,045",
"1998","Conejos County","Massa","21","48060","951",
"1997","Conejos County","Massa","21","48060","984",
"1986","Conejos County","Massa","21","48060","979",
"1999","Conejos County","Massa","21","48060","1,003",
"2006","Conejos County","Massa","21","48060","1,012",
"1996","Conejos County","Massa","21","48060","1,019",
"1985","Conejos County","Massa","21","48060","938",
"1992","Conejos County","Massa","21","48060","984",
"1982","Conejos County","Massa","21","48060","987",
"1987","Conejos County","Massa","21","48060","1,017",
"1981","Conejos County","Massa","21","48060","962",
"1989","Conejos County","Massa","21","48060","996",
"2003","Conejos County","Massa","21","48060","1,013",
"1994","Conejos County","Massa","21","48060","998",
"2002","Conejos County","Massa","21","48060","1,053",
"2007","Conejos County","Massa","21","48060","1,004",
"2009","Conejos County","Massa","21","48060","978",
"2008","Conejos County","Massa","21","48060","998",
"2003","Montezuma County","Mancos","83","48115","1,149",
"2005","Montezuma County","Mancos","83","48115","1,188",
"1992","Montezuma County","Mancos","83","48115","879",
"1988","Montezuma County","Mancos","83","48115","830",
"1993","Montezuma County","Mancos","83","48115","930",
"1989","Montezuma County","Mancos","83","48115","837",
"1994","Montezuma County","Mancos","83","48115","967",
"1982","Montezuma County","Mancos","83","48115","1,002",
"1998","Montezuma County","Mancos","83","48115","978",
"1984","Montezuma County","Mancos","83","48115","966",
"1996","Montezuma County","Mancos","83","48115","970",
"1990","Montezuma County","Mancos","83","48115","842",
"2001","Montezuma County","Mancos","83","48115","1,121",
"1997","Montezuma County","Mancos","83","48115","972",
"1987","Montezuma County","Mancos","83","48115","843",
"2004","Montezuma County","Mancos","83","48115","1,174",
"1985","Montezuma County","Mancos","83","48115","921",
"1999","Montezuma County","Mancos","83","48115","1,060",
"1983","Montezuma County","Mancos","83","48115","1,005",
"2000","Montezuma County","Mancos","83","48115","1,121",
"2002","Montezuma County","Mancos","83","48115","1,131",
"1986","Montezuma County","Mancos","83","48115","887",
"1995","Montezuma County","Mancos","83","48115","973",
"1981","Montezuma County","Mancos","83","48115","935",
"1980","Montezuma County","Mancos","83","48115","870",
"2006","Montezuma County","Mancos","83","48115","1,226",
"1991","Montezuma County","Mancos","83","48115","857",
"2009","Montezuma County","Mancos","83","48115","1,260",
"2008","Montezuma County","Mancos","83","48115","1,252",
"2007","Montezuma County","Mancos","83","48115","1,242",
"1986","El Paso County","Manitou Springs","41","48445","4,777",
"2004","El Paso County","Manitou Springs","41","48445","4,825",
"1985","El Paso County","Manitou Springs","41","48445","4,834",
"2006","El Paso County","Manitou Springs","41","48445","4,877",
"1997","El Paso County","Manitou Springs","41","48445","4,885",
"1989","El Paso County","Manitou Springs","41","48445","4,592",
"1982","El Paso County","Manitou Springs","41","48445","4,506",
"1981","El Paso County","Manitou Springs","41","48445","4,513",
"2003","El Paso County","Manitou Springs","41","48445","4,871",
"1998","El Paso County","Manitou Springs","41","48445","4,924",
"2005","El Paso County","Manitou Springs","41","48445","4,826",
"1993","El Paso County","Manitou Springs","41","48445","4,797",
"1984","El Paso County","Manitou Springs","41","48445","4,741",
"2000","El Paso County","Manitou Springs","41","48445","4,971",
"1983","El Paso County","Manitou Springs","41","48445","4,605",
"2001","El Paso County","Manitou Springs","41","48445","4,997",
"1990","El Paso County","Manitou Springs","41","48445","4,535",
"1999","El Paso County","Manitou Springs","41","48445","4,957",
"2002","El Paso County","Manitou Springs","41","48445","4,977",
"1994","El Paso County","Manitou Springs","41","48445","4,749",
"1995","El Paso County","Manitou Springs","41","48445","4,843",
"1992","El Paso County","Manitou Springs","41","48445","4,702",
"1988","El Paso County","Manitou Springs","41","48445","4,665",
"1991","El Paso County","Manitou Springs","41","48445","4,573",
"1987","El Paso County","Manitou Springs","41","48445","4,761",
"1996","El Paso County","Manitou Springs","41","48445","4,845",
"1980","El Paso County","Manitou Springs","41","48445","4,475",
"2008","El Paso County","Manitou Springs","41","48445","4,898",
"2009","El Paso County","Manitou Springs","41","48445","4,917",
"2007","El Paso County","Manitou Springs","41","48445","4,865",
"1993","Otero County","Manzanola","89","48500","470",
"2006","Otero County","Manzanola","89","48500","463",
